provider_id,first_name,last_name,specialty,npi_number,facility_name,city,region,phone,created_date
PROV400000,Hannah,Pineda,Internal Medicine,7784452486,Kennethbury Medical Center,Debraland,Hawaii,001-704-758-9638,2019-09-24
PROV400001,Kelly,Trevino,Dermatology,5341281639,Melissaton Hospital,Marialand,West Virginia,7664605880,2024-01-05
PROV400002,Jose,Riley,Neurology,9186444252,West Virginiahaven Health Group,East Eric,Mississippi,402.311.6866x0289,2020-09-29
PROV400003,Christina,Obrien,Psychiatry,6560341732,Pamelashire Clinic,Port Jenniferside,Delaware,001-854-683-6115x38336,2020-12-24
PROV400004,Brittany,Campbell,Family Medicine,2118594780,Jeremybury Hospital,Dawnchester,New Jersey,+1-845-366-1155,2022-01-13
PROV400005,Samantha,Carlson,Endocrinology,9811640292,Parkerton Health Group,Samuelfort,Nevada,(601)278-2961x47307,2019-10-30
PROV400006,Stephen,Jimenez,Endocrinology,5412211686,South James Hospital,Port Brianachester,South Carolina,001-846-752-1745,2023-04-15
PROV400007,Brandi,Schwartz,Internal Medicine,8661202977,Jamesside Health Group,Hartport,Iowa,001-780-968-4145x795,2020-03-26
PROV400008,Angela,Jones,Cardiology,7939798543,Loveshire Health Group,Dayhaven,Colorado,(361)830-2327x639,2024-08-09
PROV400009,Crystal,Harvey,Pediatrics,9650936041,Harrisshire Medical Center,Longmouth,Utah,001-565-696-4718x175,2018-11-21
PROV400010,Bianca,Rodriguez,Endocrinology,7213328054,Bartonstad Clinic,North Lindamouth,Nebraska,344.806.0210,2025-06-23
PROV400011,Kristin,White,Pediatrics,6309420888,Oliverchester Clinic,Martinmouth,North Carolina,001-433-622-6373x196,2020-03-15
PROV400012,Robert,Porter,Neurology,4702323796,Port Davidton Health Group,South Thomasmouth,Hawaii,(571)656-9147x01298,2024-05-22
PROV400013,Michael,Miller,Internal Medicine,5154717862,Hilltown Clinic,Jenningsstad,Arizona,2666528530,2021-05-06
PROV400014,Nicholas,Neal,OB/GYN,2645689727,Fergusonmouth Hospital,East Edward,Florida,001-200-365-9774x1442,2022-11-16
PROV400015,Dominique,Smith,Cardiology,2482088956,Sierratown Health Group,Keyside,New Jersey,(217)304-6687,2025-05-10
PROV400016,Tracy,Hughes,Internal Medicine,1225585432,North Stephaniefort Hospital,East Joeview,Missouri,001-858-736-5998x016,2023-03-14
PROV400017,Lisa,Garcia,Psychiatry,7340367905,South Lauren Hospital,East Kathleen,Georgia,7862102130,2023-05-31
PROV400018,Sara,Greer,Neurology,6298534979,Toddborough Hospital,Alyssaland,Vermont,560-682-4740x794,2021-03-17
PROV400019,Justin,Rodriguez,OB/GYN,2127966460,Carsonfurt Hospital,Abbottland,Rhode Island,(921)832-3929x5019,2019-04-04
PROV400020,Bill,Lee,Family Medicine,8719383556,South Matthewhaven Hospital,New Stephenfurt,Texas,605.711.9388x3090,2023-11-21
