customer_id,first_name,last_name,email,phone,address_line1,city,region,postal_code,country,customer_segment,signup_date
CUST100000,Danielle,Johnson,danielle.johnson0@example.com,533-521-8196x001,386 Shane Harbors,Port Lindachester,Michigan,36922,United States,Returning,2022-11-17
CUST100001,Jason,Gallagher,jason.gallagher1@example.com,916-315-5940,84959 Janet Cape Apt. 413,South Joshuastad,Hawaii,49021,United States,New,2024-07-29
CUST100002,Jason,Adams,jason.adams2@example.com,+1-519-228-3276x48350,4139 Lewis Parks Suite 724,East Julie,Ohio,34939,United States,New,2026-07-12
CUST100003,Ross,Silva,ross.silva3@example.com,(332)887-1012x269,784 Erin Crescent Suite 514,Mooretown,Washington,94830,United States,New,2023-10-18
CUST100004,Teresa,Gill,teresa.gill4@example.com,914.289.3252x88095,4303 Christopher Oval,Port Amandaberg,Florida,86975,United States,Loyalty,2025-08-06
CUST100005,Stacey,Martin,stacey.martin5@example.com,596.338.3465x78713,98393 Chad Roads Apt. 310,Chadbury,Louisiana,88185,United States,Returning,2025-09-07
CUST100006,Jason,Anderson,jason.anderson6@example.com,001-897-737-6311,7010 Chandler Union Apt. 333,Taylorburgh,Louisiana,61138,United States,Loyalty,2023-09-06
CUST100007,Nancy,Jones,nancy.jones7@example.com,+1-910-980-1326,0260 Baker Tunnel,Mitchellside,Texas,94664,United States,New,2025-09-11
CUST100008,Eric,Phillips,eric.phillips8@example.com,4982050097,19136 Shelly Port,New Brooke,South Carolina,11246,United States,Returning,2025-02-13
CUST100009,Diane,Cunningham,diane.cunningham9@example.com,343-353-4624x75107,425 Natasha Land,Ericside,Virginia,40152,United States,New,2026-01-20
CUST100010,Alan,Montoya,alan.montoya10@example.com,512-641-1824x4935,0164 Adam Trail Apt. 427,Hoffmanville,California,91074,United States,New,2022-10-28
CUST100011,Amy,Davenport,amy.davenport11@example.com,001-782-562-0450,158 Dickson Summit,East Michelle,Idaho,54541,United States,Returning,2021-10-07
CUST100012,Harry,Middleton,harry.middleton12@example.com,(534)221-6073x37543,5414 May Locks,Sheilaville,Kentucky,23906,United States,New,2026-06-29
CUST100013,Sydney,Baker,sydney.baker13@example.com,896-555-6981,60883 Reynolds Shores Suite 951,Williamchester,Massachusetts,53244,United States,New,2024-01-26
CUST100014,Angela,Lee,angela.lee14@example.com,+1-762-999-4680x44369,3872 Justin Shore Suite 134,Port James,Alaska,06558,United States,Returning,2023-08-21
CUST100015,Tracey,Carr,tracey.carr15@example.com,001-517-469-3676x32016,83172 Contreras Points Suite 798,Rivasside,New Hampshire,21362,United States,Returning,2025-08-04
CUST100016,Shannon,Walton,shannon.walton16@example.com,+1-348-473-4714x3455,62316 Rivera Mountain,Brownchester,Missouri,77057,United States,New,2021-09-20
CUST100017,Melissa,Cannon,melissa.cannon17@example.com,(670)854-6688x9373,65627 Tina Place Apt. 699,North Dawnberg,New Jersey,24320,United States,Returning,2021-12-25
CUST100018,Jorge,Murphy,jorge.murphy18@example.com,755.564.6417x080,003 Mary Road,East David,Texas,15494,United States,Loyalty,2026-05-09
CUST100019,Stacie,Marshall,stacie.marshall19@example.com,852-899-1241x904,93149 Laura Port,West Amandastad,California,66818,United States,New,2024-06-16
CUST100020,Alexander,Fisher,alexander.fisher20@example.com,916.857.2628x4987,3147 Karen Port Suite 507,Hunterborough,Minnesota,34363,United States,Loyalty,2024-06-13
CUST100021,Joshua,Carlson,joshua.carlson21@example.com,980-983-1367x837,43634 Kennedy Pines,Ronaldside,Michigan,46613,United States,Returning,2025-05-31
CUST100022,Joseph,King,joseph.king22@example.com,635-618-2337,43524 Jean Crossroad,Brandonton,Oklahoma,38791,United States,Returning,2022-08-18
CUST100023,Dana,Mullins,dana.mullins23@example.com,209-647-7752,16719 Edward Valleys Suite 131,Obrienbury,Wyoming,68995,United States,New,2024-10-15
CUST100024,Shannon,Ramos,shannon.ramos24@example.com,001-564-699-0913,32812 Ricky Spurs,Carterbury,Maine,93163,United States,VIP,2023-12-17
CUST100025,Jacqueline,Gibson,jacqueline.gibson25@example.com,+1-434-693-6183x24210,1746 Mason Park Suite 190,Navarroview,Alaska,12471,United States,Returning,2023-07-03
CUST100026,Suzanne,Huff,suzanne.huff26@example.com,001-990-649-0278,671 Bailey Isle,Elizabethburgh,Michigan,54456,United States,New,2025-10-08
CUST100027,Keith,Landry,keith.landry27@example.com,001-880-271-5451x68087,597 Wolf Ford,Andreaport,New Hampshire,92022,United States,New,2025-09-04
CUST100028,David,Dudley,david.dudley28@example.com,+1-332-448-0861x317,484 Davenport Mountains Apt. 782,Leehaven,West Virginia,18393,United States,Loyalty,2022-02-23
CUST100029,Joshua,Tyler,joshua.tyler29@example.com,(758)740-4499x72787,5339 Hall Trail Suite 057,Hughesberg,New York,05353,United States,Returning,2022-08-18
CUST100030,Wayne,Lawrence,wayne.lawrence30@example.com,371-987-0262,9615 Finley Road Suite 809,East Crystalport,Iowa,98381,United States,Loyalty,2022-04-28
CUST100031,Ryan,Garcia,ryan.garcia31@example.com,+1-417-524-0050x4556,222 Chelsea Light Apt. 792,South Dana,New Jersey,33967,United States,Loyalty,2021-08-20
CUST100032,Rachel,Marshall,rachel.marshall32@example.com,882-917-5946x4743,69594 Johnson Village,Hillshire,Utah,98106,United States,Returning,2021-12-21
CUST100033,Renee,Mcgee,renee.mcgee33@example.com,239-753-3942x1047,45623 Kristin Wells,Alyssaview,Hawaii,34182,United States,VIP,2025-08-27
CUST100034,Tammy,Phillips,tammy.phillips34@example.com,317-912-3685x16048,496 Rodriguez Fort Suite 098,Rosebury,Tennessee,08786,United States,Returning,2025-07-03
CUST100035,Regina,Turner,regina.turner35@example.com,(712)800-4711x38267,1796 Johnson Land,South Sean,Kansas,48038,United States,Returning,2022-05-26
CUST100036,Tina,Richardson,tina.richardson36@example.com,+1-750-564-3171x3900,318 Brenda Via,West Kim,Rhode Island,00872,United States,Loyalty,2023-11-30
CUST100037,Michele,Thomas,michele.thomas37@example.com,(584)721-0205,40268 Julie Mountains,Stricklandhaven,Pennsylvania,14794,United States,Returning,2025-05-26
CUST100038,William,Dougherty,william.dougherty38@example.com,3849700766,15921 Joshua Roads Suite 698,Shawnchester,Connecticut,92484,United States,Loyalty,2022-07-12
CUST100039,Melissa,Curtis,melissa.curtis39@example.com,001-783-667-3657x66156,71111 Davis Streets Suite 280,Elizabethchester,Minnesota,87708,United States,Returning,2025-02-25
CUST100040,Miranda,Griffith,miranda.griffith40@example.com,794-351-9832x7315,368 Chelsea Shoals Suite 024,Sandrastad,Alabama,24278,United States,Loyalty,2022-10-10
CUST100041,Ashley,Morales,ashley.morales41@example.com,(401)783-6675,599 Nicole Drives Apt. 901,Scottchester,New York,80071,United States,New,2025-04-25
CUST100042,Robert,Lewis,robert.lewis42@example.com,215.261.4978x40369,3244 Wilson Parks,Thompsonfurt,Ohio,92732,United States,New,2023-07-06
CUST100043,Vincent,Whitaker,vincent.whitaker43@example.com,(816)806-0715x969,60529 Collier Lake Apt. 613,Chapmanhaven,Colorado,52374,United States,New,2024-03-11
CUST100044,Julie,Walker,julie.walker44@example.com,001-621-581-8835x52312,212 Marshall Port,Maldonadoshire,Tennessee,83770,United States,New,2024-04-21
CUST100045,Michelle,Burton,michelle.burton45@example.com,(771)377-4490,7005 Jones Way Apt. 998,Fordside,West Virginia,05877,United States,New,2025-05-19
CUST100046,Regina,Armstrong,regina.armstrong46@example.com,759.378.2071,37788 Michael Haven,Ortizmouth,Utah,78867,United States,New,2021-12-31
CUST100047,Kristina,Holland,kristina.holland47@example.com,751-386-4492,4629 Kyle Lane,Lisahaven,Colorado,85176,United States,New,2025-02-26
CUST100048,William,Smith,william.smith48@example.com,223-757-3322x1418,622 Marie Trail,Lake Samuel,Nebraska,48250,United States,Returning,2023-07-29
CUST100049,Tara,Bishop,tara.bishop49@example.com,001-873-483-4735x97746,240 Sawyer Plaza,Lake Meghanville,Maine,11494,United States,Returning,2022-12-02
CUST100050,Joshua,Whitehead,joshua.whitehead50@example.com,(861)737-5060,1530 Galvan Villages,Laceyberg,Arizona,38102,United States,Returning,2025-07-28
CUST100051,Heather,Taylor,heather.taylor51@example.com,001-877-390-1043x289,41036 Brown Villages Suite 980,Lake Douglas,Nevada,00706,United States,New,2024-07-22
CUST100052,John,Butler,john.butler52@example.com,+1-818-751-8888x80670,051 Allen Shoals Apt. 952,West Amyburgh,Wyoming,90243,United States,New,2025-07-04
CUST100053,Tina,Mendoza,tina.mendoza53@example.com,(221)770-4303,687 Johnson Rue Apt. 450,Joshuastad,Nevada,52932,United States,VIP,2025-04-18
CUST100054,Patricia,Hughes,patricia.hughes54@example.com,(877)458-4161,1154 Griffin Stravenue Suite 275,Williamsstad,South Carolina,57509,United States,Returning,2023-11-22
CUST100055,Danielle,Moody,danielle.moody55@example.com,9162582029,35569 Cassie Springs,Rushstad,New Hampshire,10578,United States,Returning,2026-06-09
CUST100056,Devin,Richardson,devin.richardson56@example.com,543-610-2786x81447,12172 Osborn Valleys Suite 518,Patriciaburgh,Virginia,93504,United States,New,2023-01-13
CUST100057,Laura,Hicks,laura.hicks57@example.com,732-937-0589,114 Key Stravenue,Foxchester,Oregon,10167,United States,Loyalty,2022-08-15
CUST100058,Teresa,Day,teresa.day58@example.com,378.452.8922x680,25358 Singleton Glen Apt. 842,Christinaland,North Carolina,84516,United States,New,2022-12-27
CUST100059,Brittany,Carpenter,brittany.carpenter59@example.com,(699)559-0010,078 May Hollow Suite 364,Joneston,Hawaii,58120,United States,Returning,2025-02-02
CUST100060,Todd,Harris,todd.harris60@example.com,+1-525-955-6258x815,7321 Kelly Lights,Wrightburgh,Massachusetts,76219,United States,VIP,2024-03-19
CUST100061,James,Moore,james.moore61@example.com,277.247.0168x73395,9748 Melanie Meadows Apt. 456,Brandonton,Oregon,74139,United States,Returning,2023-03-18
